167772160 1.25 134217728
318898176 1.58 201326592
461504512 1.96 234881024
599916544 2.38 251658240
736231424 2.83 260046848
871497728 3.30 264241152
1006239744 3.78 266338304
1140719616 4.27 267386880
1275068416 4.76 267911168
1409286144 5.26 268173312
1543503872 5.75 268304384
1677721600 6.25 268369920
1812070400 6.75 268402688
1946288128 7.25 268419072
2080505856 7.75 268427264
2214723584 8.25 268431360
2348941312 8.75 268433408
2483159040 9.25 268434432
2617376768 9.75 268434944
2751594496 10.25 268435200
2885812224 10.75 268435328
3020029952 11.25 268435392
3154247680 11.75 268435424
