16 2.500000
32 2.454545
48 2.216224
64 2.050000
80 1.708351
96 1.538547
128 1.458845
160 1.388771
192 1.323749
240 1.278742
288 1.264370
352 1.223857
432 1.195848
528 1.183220
640 1.165391
768 1.147707
928 1.135227
1120 1.122147
1344 1.111378
1616 1.104889
1952 1.097040
2352 1.090274
2832 1.084382
3408 1.081164
4096 1.076477
4928 1.072309
5920 1.068605
7104 1.065264
8528 1.062286
10240 1.059564
12288 1.057053
14752 1.054755
17712 1.052733
21264 1.050779
25520 1.049002
30624 1.047530
36752 1.045947
44112 1.044460
52944 1.042134
63536 1.040836
76256 1.039611
91520 1.039004
109824 1.038046
131792 1.037739
158160 1.036431
189792 1.036418
227760 1.035288
273312 1.035102
327984 1.034269
393584 1.034226
472304 1.033626
566768 1.032699
680128 1.031886
816160 1.031799
979392 1.031232
1175280 1.030077
1410336 1.029967
1692416 1.029582
2030912 1.029010
2437104 1.028927
2924528 1.028338
3509440 1.028015
