16 2.031250
32 2.944444
48 3.272736
64 3.214286
80 2.986131
96 2.717406
128 2.448276
160 2.141899
192 1.950011
240 1.811333
288 1.709035
352 1.626837
432 1.564958
528 1.511798
640 1.470472
768 1.433212
928 1.401433
1120 1.376143
1344 1.352090
1616 1.330925
1952 1.312173
2352 1.295422
2832 1.280369
3408 1.266810
4096 1.254471
4928 1.243230
5920 1.232970
7104 1.223543
8528 1.214898
10240 1.206891
12288 1.199443
14752 1.192520
17712 1.186156
21264 1.180124
25520 1.174505
30624 1.169406
36752 1.164402
44112 1.159680
52944 1.155285
63536 1.151049
76256 1.147033
91520 1.142950
109824 1.139482
131792 1.136000
158160 1.133261
189792 1.129512
227760 1.127121
273312 1.124132
327984 1.121548
393584 1.119069
472304 1.116913
566768 1.114445
680128 1.112096
816160 1.109837
979392 1.107897
1175280 1.106210
1410336 1.105137
1692416 1.103651
2030912 1.101811
2437104 1.100397
2924528 1.098964
3509440 1.097623
