16 2.031250
32 1.805556
48 1.636368
64 1.500000
80 1.416676
96 1.336964
128 1.275862
160 1.238094
192 1.204235
240 1.176916
288 1.156948
352 1.141798
432 1.126540
528 1.117292
640 1.106915
768 1.100765
928 1.093198
1120 1.086695
1344 1.081043
1616 1.076081
1952 1.073510
2352 1.069500
2832 1.065899
3408 1.062682
4096 1.059738
4928 1.057065
5920 1.054646
7104 1.052427
8528 1.050424
10240 1.048564
12288 1.046822
14752 1.045208
17712 1.043785
21264 1.042383
25520 1.041100
30624 1.040052
36752 1.037943
44112 1.036863
52944 1.035899
63536 1.034916
76256 1.033980
91520 1.033581
109824 1.032857
131792 1.031929
158160 1.030886
189792 1.030264
227760 1.029377
273312 1.029238
327984 1.028610
393584 1.028008
472304 1.027585
566768 1.027518
680128 1.026884
816160 1.026275
979392 1.025860
1175280 1.025499
1410336 1.025458
1692416 1.025174
2030912 1.024729
2437104 1.024127
2924528 1.024211
3509440 1.023419
