16 1.984375
32 3.248928
48 4.417106
64 5.534687
80 6.624148
96 7.683345
128 8.720864
160 9.737991
192 10.730216
240 11.698496
288 12.640774
352 13.558143
432 14.437895
528 15.268241
640 16.057657
768 16.786826
928 17.404583
1120 18.000000
1344 18.510339
1616 18.860792
1952 19.156158
2352 19.297031
2832 19.264499
3408 19.032323
4096 18.650695
4928 18.058771
5920 17.223345
7104 16.376095
8528 15.276243
10240 14.030015
12288 12.809817
14752 11.592181
17712 10.373371
21264 9.198693
25520 8.155889
30624 7.177111
36752 6.235083
44112 5.412367
52944 4.631629
63536 4.046603
76256 3.593119
91520 3.231611
109824 2.936857
131792 2.690372
158160 2.481208
189792 2.302777
227760 2.148295
273312 2.012672
327984 1.892533
393584 1.786369
472304 1.691107
566768 1.605531
680128 1.528233
816160 1.457175
979392 1.391005
1175280 1.330287
1410336 1.277095
1692416 1.227717
2030912 1.178505
2437104 1.136282
2924528 1.095641
3509440 1.057807
