16 1.593750
32 2.441238
48 3.500190
64 3.360230
80 4.481470
96 4.663108
128 4.568575
160 5.514915
192 6.308742
240 6.831100
288 7.735851
352 8.502429
432 9.014864
528 9.898023
640 10.653205
768 11.190590
928 11.530615
1120 12.165568
1344 12.782017
1616 13.164514
1952 13.379509
2352 13.854584
2832 14.316188
3408 14.611550
4096 14.725134
4928 15.066353
5920 15.452841
7104 15.663009
8528 15.932902
10240 16.227874
12288 16.536363
14752 16.687360
17712 16.812981
21264 17.059358
25520 17.267892
30624 17.425878
36752 17.428162
44112 17.756015
52944 18.072597
63536 18.353657
76256 18.619205
91520 18.999167
109824 19.121949
131792 19.449301
158160 19.533399
189792 19.533417
227760 19.686147
273312 19.662513
327984 19.806607
393584 19.604391
472304 19.540223
566768 18.887985
680128 18.272051
816160 17.712195
979392 17.222727
1175280 16.815950
1410336 16.514367
1692416 14.946684
2030912 13.453426
2437104 13.308325
2924528 11.832303
3509440 10.462944
