16 1.593750
32 1.588235
48 2.027785
64 2.158006
80 2.050125
96 1.952858
128 1.864381
160 1.783309
192 1.709255
240 1.641106
288 1.581773
352 1.528908
432 1.479094
528 1.534843
640 1.526814
768 1.477823
928 1.431617
1120 1.484327
1344 1.477764
1616 1.500908
1952 1.462796
2352 1.437719
2832 1.444766
3408 1.451807
4096 1.433006
4928 1.422090
5920 1.415376
7104 1.432898
8528 1.499044
10240 1.506621
12288 1.474072
14752 1.443230
17712 1.514639
21264 1.551709
25520 1.546696
30624 1.534501
36752 1.532873
44112 1.526951
52944 1.532135
63536 1.545728
76256 1.622006
91520 1.631961
109824 1.604327
131792 1.672576
158160 1.663243
189792 1.637955
227760 1.625229
273312 1.714709
327984 1.710940
393584 1.674363
472304 1.665807
566768 1.702900
680128 1.649942
816160 1.601076
979392 1.579709
1175280 1.655656
1410336 1.642501
1692416 1.582507
2030912 1.523734
2437104 1.514354
2924528 1.457096
3509440 1.405461
