16 1.625000
32 2.500063
48 3.555748
64 3.413567
80 4.532108
96 4.712193
128 4.615918
160 5.560120
192 6.352705
240 6.873662
288 7.776781
352 8.542440
432 9.053805
528 9.935730
640 10.690195
768 11.226747
928 11.565823
1120 12.216755
1344 12.815522
1616 13.213696
1952 13.427464
2352 13.885614
2832 14.361926
3408 14.641431
4096 14.768872
4928 15.108873
5920 15.480734
7104 15.690368
8528 15.959658
10240 16.254283
12288 16.562364
14752 16.712895
17712 16.838001
21264 17.084064
25520 17.292264
30624 17.449897
36752 17.451666
44112 17.779440
52944 18.095947
63536 18.376875
76256 18.653835
91520 19.022253
109824 19.144740
131792 19.472049
158160 19.567058
189792 19.555438
227760 19.707960
273312 19.683920
327984 19.827825
393584 19.625059
472304 19.560514
566768 18.907288
680128 18.290433
816160 17.729741
979392 17.239538
1175280 16.832150
1410336 16.530110
1692416 14.960758
2030912 13.459669
2437104 13.320574
2924528 11.837691
3509440 10.472361
