0 1.625000
1 2.470650
2 3.500190
3 3.360230
4 4.481470
5 4.663108
6 4.568575
7 5.514915
8 6.308742
9 6.831100
10 7.735851
11 8.502429
12 9.014864
13 9.898023
14 10.653205
15 11.190590
16 11.530615
17 12.182630
18 12.782017
19 13.180908
20 13.379509
21 13.854584
22 14.316188
23 14.611550
24 14.725134
25 15.080527
26 15.452841
27 15.663009
28 15.932902
29 16.227874
30 16.536363
31 16.687360
32 16.812981
33 17.059358
34 17.267892
35 17.425878
36 17.428162
37 17.756015
38 18.072597
39 18.353657
40 18.619205
41 18.999167
42 19.121949
43 19.449301
44 19.533399
45 19.533417
46 19.686147
47 19.662513
48 19.806607
49 19.604391
50 19.540223
51 18.887985
52 18.272051
53 17.712195
54 17.222727
55 16.815950
56 16.514367
57 14.946684
58 13.453426
59 13.308325
60 11.832303
61 10.462944
