# BlockSize maxrss blowup livedatasize
32 1499234304 3.00 500000000
64 2749267968 3.67 750000000
128 2749399040 3.14 875000000
256 3811737600 4.07 937500000
512 3811868672 3.93 968749824
1024 3811999744 3.87 984374560
2048 4819550208 4.86 992186336
4096 4819943424 4.84 996091488
8192 4820074496 4.83 998044352
16384 5820678144 5.83 999015424
32768 6820757504 6.82 999488416
65536 7820574720 7.82 999713536
131072 8851193856 8.85 999788768
262144 8851193856 8.85 999774912
524288 8851193856 8.85 999618176
1048576 8952606720 8.96 999142432
2097152 9386188800 9.40 998541152
4194304 9386188800 9.40 998274368
8388608 9386188800 9.43 995468800
16777216 9386188800 9.50 987622336
33554432 9386188800 9.67 970976800
67108864 9386188800 9.89 949307840
134217728 9386188800 10.42 901213824
268435456 9386188800 12.17 771223488
536870912 9386188800 18.65 503312352
